work,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B,0.1515151515,0.1818181818,0.1212121212,0.1515151515,0.1818181818,0.0606060606,0.0606060606,0.0303030303,0,0.0606060606,0,0
B,0.2222222222,0.2222222222,0.1111111111,0,0.2222222222,0,0.1111111111,0.1111111111,0,0,0,0
B,0.0909090909,0.0909090909,0.2727272727,0.0909090909,0.0909090909,0,0,0.0909090909,0,0.2727272727,0,0
B,0.1333333333,0.2666666667,0.2666666667,0,0.1333333333,0.0666666667,0.1333333333,0,0,0,0,0
B,0.1333333333,0.0666666667,0.2,0.0666666667,0.2,0,0.0666666667,0.2,0,0,0.0666666667,0
B,0.3333333333,0,0,0.3333333333,0,0,0,0,0,0,0.3333333333,0
B,0.2142857143,0.0714285714,0.2857142857,0,0.1428571429,0,0.0714285714,0.1428571429,0,0.0714285714,0,0
B,0.2666666667,0.1333333333,0.0333333333,0.1333333333,0.0666666667,0.1,0.0666666667,0.0666666667,0,0.0666666667,0.0666666667,0
B,0.2222222222,0.2222222222,0.2222222222,0,0.1111111111,0,0.1111111111,0,0,0.1111111111,0,0
B,0.0714285714,0.2142857143,0.2142857143,0.0714285714,0.2142857143,0.0714285714,0.0714285714,0,0,0.0714285714,0,0
B,0.25,0.25,0.125,0.125,0,0,0.25,0,0,0,0,0
B,0.2380952381,0.1428571429,0.119047619,0.0952380952,0.119047619,0.119047619,0.0714285714,0.0238095238,0,0.0476190476,0.0238095238,0
B,0.2727272727,0.1818181818,0.1818181818,0.0909090909,0.1818181818,0.0909090909,0,0,0,0,0,0
B,0.125,0.125,0.125,0.0416666667,0.125,0.0833333333,0.125,0.0416666667,0,0.1666666667,0.0416666667,0
B,0.2142857143,0.2857142857,0.2142857143,0.0714285714,0.0714285714,0.0714285714,0.0714285714,0,0,0,0,0
B,0.2727272727,0.2045454545,0.1136363636,0.0681818182,0.0909090909,0.0454545455,0.0227272727,0.1136363636,0,0.0227272727,0.0454545455,0
B,0.2068965517,0.2413793103,0.1379310345,0.0689655172,0.1034482759,0.1034482759,0.0344827586,0.0344827586,0,0.0344827586,0.0344827586,0
B,0.1428571429,0.1428571429,0.1071428571,0.0357142857,0.1071428571,0.0357142857,0.0357142857,0.1071428571,0.0357142857,0.1071428571,0.1428571429,0
B,0.1904761905,0.2380952381,0.2380952381,0,0.0952380952,0.0476190476,0.0952380952,0.0476190476,0,0,0.0476190476,0
B,0.1666666667,0.1666666667,0.1111111111,0.1111111111,0.0555555556,0,0.1111111111,0.1111111111,0.0555555556,0,0.1111111111,0
B,0.1111111111,0.0555555556,0.1111111111,0.0555555556,0.2222222222,0.1111111111,0.1111111111,0.1111111111,0,0.0555555556,0.0555555556,0
B,0.2666666667,0.1333333333,0.1333333333,0,0.2,0,0.1333333333,0,0.1333333333,0,0,0
B,0.2380952381,0.0952380952,0.2857142857,0,0.0952380952,0.0476190476,0.0952380952,0,0.0476190476,0.0952380952,0,0
B,0.1578947368,0.052631579,0.052631579,0.052631579,0.052631579,0.1052631579,0.1578947368,0.1052631579,0.1578947368,0,0.1052631579,0
B,0.1785714286,0.1071428571,0.1428571429,0.1071428571,0.1428571429,0.0357142857,0,0,0.0714285714,0.1071428571,0.1071428571,0
B,0.1111111111,0.1481481481,0.037037037,0.037037037,0.1111111111,0.1111111111,0.1111111111,0.0740740741,0.1111111111,0,0.1481481481,0
B,0.1818181818,0,0.0909090909,0.0909090909,0.2727272727,0,0.0909090909,0.0909090909,0,0,0.1818181818,0
B,0.1739130435,0.0869565217,0.0869565217,0.0869565217,0.0434782609,0.0434782609,0.1304347826,0.0869565217,0.0434782609,0,0.2173913043,0
B,0.125,0.25,0.125,0,0,0,0.125,0,0,0.125,0.25,0
B,0.1,0.25,0.2,0.05,0,0.1,0.05,0,0,0,0.25,0
B,0.15,0.1,0.2,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.1,0
B,0.1818181818,0.2363636364,0.1454545455,0.0363636364,0.1454545455,0.0545454546,0.0363636364,0.0909090909,0.0363636364,0.0181818182,0.0181818182,0
B,0.1891891892,0.2162162162,0.0810810811,0.027027027,0.1891891892,0.1081081081,0.0810810811,0.0540540541,0.027027027,0.027027027,0,0
B,0.2142857143,0.0714285714,0.2142857143,0.0714285714,0.1428571429,0.0714285714,0,0.1428571429,0.0714285714,0,0,0
B,0.2105263158,0.2631578947,0.1578947368,0,0.1052631579,0.1052631579,0.052631579,0.052631579,0,0,0.052631579,0
B,0.1935483871,0.0967741936,0.0967741936,0.0322580645,0.2580645161,0.1290322581,0.1290322581,0.064516129,0,0,0,0
B,0.125,0.125,0.25,0.125,0.25,0,0.125,0,0,0,0,0
B,0.2,0.0666666667,0.2,0.0666666667,0.1333333333,0.0666666667,0.0666666667,0,0.0666666667,0,0.1333333333,0
B,0.3,0.15,0.15,0.1,0.05,0.1,0.05,0.05,0.05,0,0,0
B,0.1578947368,0.1578947368,0.2105263158,0.1052631579,0.1052631579,0.1052631579,0.052631579,0.052631579,0,0.052631579,0,0
B,0.1794871795,0.1282051282,0.1538461538,0.0769230769,0.1025641026,0.1025641026,0.0256410256,0.1025641026,0.0512820513,0.0512820513,0.0256410256,0
B,0.2692307692,0.1923076923,0.0769230769,0,0.1153846154,0.0769230769,0.1153846154,0.1153846154,0,0.0384615385,0,0
B,0.25,0,0,0,0,0,0.25,0.25,0,0,0.25,0
B,0.1428571429,0,0.1428571429,0,0,0,0.1428571429,0.1428571429,0.1428571429,0.1428571429,0.1428571429,0
B,0.1818181818,0.1363636364,0.0909090909,0.0909090909,0.0909090909,0.1363636364,0.0454545455,0,0.0909090909,0.0454545455,0.0909090909,0
B,0.1875,0.1875,0.03125,0.0625,0.15625,0.125,0.0625,0.03125,0.09375,0.03125,0.03125,0
B,0.1111111111,0.1111111111,0.2222222222,0,0,0.1111111111,0.2222222222,0,0,0.2222222222,0,0
B,0.1176470588,0.1764705882,0.2352941176,0.0588235294,0.1176470588,0.1176470588,0.1176470588,0,0.0588235294,0,0,0
B,0.2692307692,0.2307692308,0.0769230769,0.0384615385,0.1153846154,0.0769230769,0.0384615385,0.0769230769,0.0384615385,0,0.0384615385,0
B,0.1612903226,0.1290322581,0.1290322581,0.1612903226,0.1290322581,0,0.064516129,0.0967741936,0.0967741936,0,0.0322580645,0
B,0.24,0.16,0.08,0,0.12,0.08,0.12,0.04,0.16,0,0,0
B,0.2181818182,0.1636363636,0.1636363636,0.0181818182,0.0909090909,0.0909090909,0.0545454546,0.0909090909,0.0727272727,0,0.0363636364,0
B,0.5,0,0,0.25,0,0,0,0,0,0,0.25,0
B,0.1,0.15,0.25,0,0.15,0.15,0.1,0.1,0,0,0,0
B,0.2,0.2,0.08,0.08,0.08,0.12,0,0.04,0.08,0,0.12,0
B,0.2571428571,0.2285714286,0.1142857143,0,0.0857142857,0.0285714286,0.0857142857,0.0857142857,0.0571428571,0,0.0571428571,0
B,0.28,0.08,0.04,0,0.12,0.12,0.12,0.04,0.12,0.08,0,0
B,0.3,0.15,0.1,0.05,0.05,0.05,0,0.05,0.05,0.1,0.1,0
B,0.1,0.1333333333,0,0.0666666667,0.2666666667,0.0333333333,0.1,0.1333333333,0.0333333333,0.0333333333,0.1,0
B,0.2352941176,0.1176470588,0.1176470588,0,0,0.1176470588,0.0588235294,0.1176470588,0.1764705882,0,0.0588235294,0
B,0.25,0.15,0.05,0.05,0.15,0.15,0,0.05,0.15,0,0,0
B,0.2647058824,0.0882352941,0.0294117647,0,0.0882352941,0.0294117647,0.1176470588,0.1176470588,0.1176470588,0,0.1470588235,0
B,0.2631578947,0.1052631579,0.1578947368,0,0.052631579,0.1052631579,0.052631579,0.052631579,0.1052631579,0.052631579,0.052631579,0
B,0.1346153846,0.1153846154,0.1153846154,0.0576923077,0.0384615385,0.0576923077,0.1346153846,0.0961538462,0.0961538462,0.0192307692,0.1346153846,0
B,0.1428571429,0.1428571429,0.2244897959,0.0612244898,0.1224489796,0.0816326531,0.0612244898,0.0408163265,0.1020408163,0.0204081633,0,0
B,0.1428571429,0,0,0.1428571429,0,0.1428571429,0.1428571429,0.1428571429,0.2857142857,0,0,0
B,0.15,0.1166666667,0.2,0.05,0.0833333333,0.15,0.0833333333,0.1333333333,0.0166666667,0,0.0166666667,0
B,0.0975609756,0.1707317073,0.0975609756,0,0.0975609756,0.0731707317,0.1463414634,0.0487804878,0.1463414634,0,0.1219512195,0
B,0.2105263158,0.1578947368,0.1578947368,0.1052631579,0.052631579,0.1052631579,0.052631579,0.052631579,0.1052631579,0,0,0
B,0.2222222222,0.1111111111,0.2222222222,0.1666666667,0.0555555556,0.1111111111,0.0555555556,0.0555555556,0,0,0,0
B,0.2181818182,0.1272727273,0.1818181818,0.0545454546,0.1454545455,0.0909090909,0.0363636364,0.0727272727,0.0181818182,0.0545454546,0,0
B,0.125,0.0625,0.0625,0.125,0.1875,0.1875,0.1875,0,0.0625,0,0,0
B,0.125,0.1875,0.1875,0,0.25,0.125,0,0.0625,0,0.0625,0,0
B,0.1904761905,0.1904761905,0.1904761905,0,0.0952380952,0.0476190476,0.1428571429,0.0952380952,0,0.0476190476,0,0
B,0.2727272727,0.3636363636,0.0909090909,0,0.1818181818,0,0,0.0909090909,0,0,0,0
B,0.0833333333,0.1666666667,0.2083333333,0.0833333333,0.25,0.0416666667,0.125,0,0,0.0416666667,0,0
B,0.1785714286,0.1071428571,0.3928571429,0.0357142857,0.0357142857,0.0357142857,0.0357142857,0.1428571429,0,0.0357142857,0,0
B,0.25,0,0.3125,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0,0,0
B,0.1111111111,0.1111111111,0.2222222222,0.1111111111,0,0,0.1111111111,0,0,0.1111111111,0.2222222222,0
B,0.2745098039,0.137254902,0.137254902,0.0392156863,0.0980392157,0.0980392157,0.0980392157,0.0588235294,0.0392156863,0.0196078431,0,0
B,0.2,0.1777777778,0.1111111111,0.0666666667,0.1111111111,0.0888888889,0.0888888889,0.0666666667,0.0666666667,0,0.0222222222,0
B,0.25,0,0.0833333333,0.0833333333,0.1666666667,0.0833333333,0.0833333333,0.0833333333,0,0.1666666667,0,0
B,0.3,0.1,0.1333333333,0.0333333333,0.1666666667,0.1,0.0333333333,0.1,0.0333333333,0,0,0
B,0.1785714286,0.2142857143,0.2142857143,0.0714285714,0.0357142857,0.0714285714,0.0714285714,0.1071428571,0,0,0.0357142857,0
B,0.125,0.125,0.25,0.125,0,0.125,0.125,0.125,0,0,0,0
B,0.2,0.1333333333,0.0666666667,0.0666666667,0.0666666667,0.2,0.0666666667,0,0.0666666667,0,0.1333333333,0
B,0.2857142857,0.2142857143,0.0714285714,0.0714285714,0.1428571429,0,0.1428571429,0,0,0,0.0714285714,0
B,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0.2,0
B,0.1333333333,0.2,0.0666666667,0.0666666667,0.1333333333,0,0.2666666667,0,0,0,0.1333333333,0
B,0.2,0,0.2,0.1,0,0,0.2,0.1,0,0.1,0.1,0
B,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0
B,0.1176470588,0.1176470588,0.2352941176,0.0588235294,0.1176470588,0.2352941176,0.0588235294,0.0588235294,0,0,0,0
B,0.2105263158,0.1578947368,0.1052631579,0,0.1578947368,0,0.1052631579,0.052631579,0,0.052631579,0.1578947368,0
B,0.125,0.1875,0.125,0.0625,0.1875,0.0625,0.1875,0.0625,0,0,0,0
B,0.1578947368,0.1578947368,0.1052631579,0,0.1578947368,0.1052631579,0.052631579,0.052631579,0.052631579,0.1052631579,0.052631579,0
B,0.2222222222,0.1666666667,0.2222222222,0,0.1111111111,0,0.1111111111,0.1111111111,0,0.0555555556,0,0
B,0.2105263158,0.2105263158,0.1578947368,0,0.1052631579,0.052631579,0,0.052631579,0,0.2105263158,0,0
B,0.2666666667,0.2,0.1333333333,0,0,0.1333333333,0.1333333333,0,0.0666666667,0,0.0666666667,0
B,0.3333333333,0.2,0,0.0666666667,0.2,0,0.0666666667,0.1333333333,0,0,0,0
B,0.25,0.1875,0.0625,0,0.1875,0.125,0.0625,0,0.0625,0.0625,0,0
B,0.2142857143,0.2857142857,0.1428571429,0.0714285714,0,0.0714285714,0.0714285714,0,0.0714285714,0.0714285714,0,0
B,0.2,0.1,0.1,0,0.2,0,0.2,0.1,0,0.1,0,0
B,0.1578947368,0.1578947368,0.2105263158,0.1052631579,0,0.052631579,0.052631579,0,0.1052631579,0.1578947368,0,0
B,0.1458333333,0.2083333333,0.1041666667,0,0.2291666667,0.0833333333,0.0416666667,0.125,0,0.0625,0,0
B,0.2222222222,0.2222222222,0.1111111111,0.0277777778,0.0833333333,0.0555555556,0.0555555556,0.1111111111,0.0555555556,0.0277777778,0.0277777778,0
B,0.16,0.16,0.2,0.04,0.16,0.08,0.12,0.04,0,0.04,0,0
B,0.2916666667,0.2083333333,0.125,0.0833333333,0.0416666667,0.0416666667,0.125,0.0833333333,0,0,0,0
B,0.2272727273,0.1818181818,0.1818181818,0,0.0909090909,0.0454545455,0.1363636364,0.0454545455,0,0.0909090909,0,0
B,0.2,0.1333333333,0.0666666667,0.0666666667,0.0666666667,0.1333333333,0.0666666667,0,0.2666666667,0,0,0
B,0.125,0.125,0.1875,0.03125,0.125,0.09375,0.09375,0.0625,0.03125,0.125,0,0
B,0.0833333333,0.1666666667,0,0,0.3333333333,0.1666666667,0.25,0,0,0,0,0
B,0.2,0.1333333333,0,0.0666666667,0.3333333333,0.0666666667,0.0666666667,0,0,0.1333333333,0,0
B,0.2424242424,0.0909090909,0.1212121212,0.0909090909,0.2121212121,0.0909090909,0.0606060606,0.0606060606,0,0.0303030303,0,0
B,0.1904761905,0.1904761905,0.0952380952,0.0476190476,0.2857142857,0.0952380952,0.0476190476,0.0476190476,0,0,0,0
B,0.2,0.1,0.05,0.1,0,0.2,0.15,0,0.1,0,0.1,0
B,0.2068965517,0.2413793103,0.1724137931,0,0.1724137931,0.0344827586,0.0344827586,0.0344827586,0.0689655172,0.0344827586,0,0
B,0.3,0.3,0.1,0,0,0,0.1,0.1,0.1,0,0,0
B,0.2083333333,0.1666666667,0.125,0.0833333333,0.0416666667,0.0833333333,0.0833333333,0.0833333333,0.125,0,0,0
B,0.25,0.1,0.1,0.15,0.1,0.05,0.05,0.05,0.1,0.05,0,0
B,0.2173913043,0.1304347826,0.1739130435,0.0434782609,0.0869565217,0.0869565217,0.1304347826,0,0,0.0434782609,0.0869565217,0
B,0.1428571429,0.2142857143,0.1428571429,0.0714285714,0.0714285714,0.0714285714,0.2142857143,0.0714285714,0,0,0,0
B,0.1081081081,0.2162162162,0.1621621622,0.027027027,0.1351351351,0.0540540541,0.0810810811,0.0540540541,0.0540540541,0,0.1081081081,0
B,0.0833333333,0.1666666667,0.1666666667,0.0833333333,0.1666666667,0.1666666667,0.0833333333,0,0,0.0833333333,0,0
B,0.1923076923,0.1153846154,0.1538461538,0.0769230769,0.0769230769,0.0769230769,0.0769230769,0,0.0769230769,0.0769230769,0.0769230769,0
B,0.2121212121,0.1515151515,0.1515151515,0.0606060606,0.1515151515,0.0303030303,0.0909090909,0.0909090909,0,0.0606060606,0,0
B,0.1176470588,0.2352941176,0.0588235294,0.1176470588,0.1176470588,0.0588235294,0.0588235294,0.0588235294,0.0588235294,0,0.1176470588,0
B,0.2222222222,0.2222222222,0.2222222222,0,0.1111111111,0,0,0,0.1111111111,0.1111111111,0,0
B,0.3076923077,0.1923076923,0.0384615385,0,0.1923076923,0.0769230769,0.0384615385,0.0384615385,0.0384615385,0.0384615385,0.0384615385,0
B,0.24,0.16,0.28,0.08,0,0.08,0.04,0.04,0.04,0,0.04,0
B,0.2,0.2,0.1333333333,0.1333333333,0.0666666667,0,0.1333333333,0.0666666667,0,0,0.0666666667,0
B,0.2272727273,0.1363636364,0.1363636364,0,0.0909090909,0.1363636364,0.1363636364,0.0909090909,0,0.0454545455,0,0
B,0.2941176471,0.1176470588,0.1764705882,0.0588235294,0,0.0588235294,0.1176470588,0.0588235294,0,0.0588235294,0.0588235294,0
B,0.375,0.1875,0.0625,0,0.125,0,0.125,0.0625,0.0625,0,0,0
B,0.2142857143,0.2142857143,0.0714285714,0.0714285714,0.0714285714,0.0714285714,0.0714285714,0,0.0714285714,0,0.1428571429,0
B,0.2,0.1,0.2,0.2,0.1,0,0,0,0.1,0.1,0,0
B,0.25,0.1666666667,0.0416666667,0,0.1666666667,0.1666666667,0.0416666667,0.0416666667,0.0416666667,0.0416666667,0.0416666667,0
B,0.2666666667,0.3333333333,0.1333333333,0,0,0.0666666667,0.0666666667,0.0666666667,0.0666666667,0,0,0
B,0.1666666667,0.1666666667,0.1666666667,0.0833333333,0,0.1666666667,0.0833333333,0,0.0833333333,0.0833333333,0,0
B,0.2380952381,0.1904761905,0.1904761905,0,0.0476190476,0.0952380952,0.0476190476,0,0.0952380952,0.0476190476,0.0476190476,0
B,0.2083333333,0.1666666667,0.1666666667,0.0416666667,0.125,0.0416666667,0.0416666667,0.0833333333,0.0416666667,0.0416666667,0.0416666667,0
B,0.2,0.1,0.15,0.05,0.2,0.05,0.05,0.1,0.05,0.05,0,0
B,0.2727272727,0.1818181818,0.0909090909,0.0909090909,0,0.0909090909,0,0,0,0.2727272727,0,0
B,0.1875,0.1875,0.1875,0.0208333333,0.0625,0.0833333333,0.0625,0.125,0.0625,0.0208333333,0,0
B,0.2631578947,0.2105263158,0.1578947368,0.052631579,0.1052631579,0.052631579,0.052631579,0.052631579,0.052631579,0,0,0
B,0.2857142857,0.0476190476,0.1428571429,0.1428571429,0.0476190476,0.0952380952,0,0.0952380952,0.0476190476,0.0952380952,0,0
B,0.2,0.08,0.12,0.08,0.12,0.08,0.12,0.16,0,0.04,0,0
B,0.2,0.2,0.08,0.04,0.12,0.08,0,0.08,0.12,0.08,0,0
B,0.2,0.1,0.3,0,0,0.2,0.1,0.1,0,0,0,0
B,0.1612903226,0.1612903226,0.0967741936,0.064516129,0.1612903226,0.064516129,0.1612903226,0.064516129,0.0322580645,0.0322580645,0,0
B,0.2777777778,0.2222222222,0,0.1666666667,0.0555555556,0,0,0.1111111111,0.1666666667,0,0,0
B,0.3076923077,0.2307692308,0.0769230769,0,0.1538461538,0,0.2307692308,0,0,0,0,0
B,0.1851851852,0.0740740741,0.1111111111,0.1111111111,0.2222222222,0.1111111111,0.1111111111,0.0740740741,0,0,0,0
B,0.2,0.1428571429,0.0571428571,0.0285714286,0.2571428571,0.0857142857,0.0571428571,0.1142857143,0.0285714286,0.0285714286,0,0
B,0.375,0.1875,0.0625,0.0625,0.0625,0.0625,0,0.0625,0,0.125,0,0
B,0.2173913043,0.0869565217,0.2608695652,0.0869565217,0.1304347826,0.0869565217,0.0434782609,0,0,0.0869565217,0,0
B,0.2083333333,0.1666666667,0.1666666667,0.0416666667,0.125,0.0833333333,0.0833333333,0.0833333333,0.0416666667,0,0,0
B,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0
B,0.1363636364,0.1363636364,0.1818181818,0.0454545455,0.1818181818,0.0909090909,0.1363636364,0.0909090909,0,0,0,0
B,0.1,0.3,0.2,0,0.2,0,0.1,0,0.1,0,0,0
B,0.1333333333,0.1,0.2,0.1,0.0666666667,0.0333333333,0.1,0.1,0.0666666667,0.0666666667,0.0333333333,0
B,0.25,0.1666666667,0.0833333333,0.0416666667,0,0.125,0.0416666667,0.0833333333,0.0416666667,0,0.1666666667,0
B,0.1875,0.15625,0.125,0.0625,0.125,0.0625,0.0625,0.09375,0.09375,0.03125,0,0
B,0.1538461538,0.3076923077,0.1153846154,0,0.0384615385,0.1538461538,0.0384615385,0.0384615385,0,0.1538461538,0,0
B,0.1,0.3,0.2,0,0.1,0.1,0.1,0.1,0,0,0,0
B,0.25,0.125,0.125,0.0625,0.09375,0.09375,0.03125,0.125,0,0.09375,0,0
B,0.2222222222,0.2222222222,0.2222222222,0,0,0.1111111111,0.1111111111,0,0.1111111111,0,0,0
B,0.24,0.08,0.32,0.08,0.04,0.04,0.08,0.12,0,0,0,0
B,0.1851851852,0.1851851852,0.1481481481,0.0740740741,0,0.1111111111,0.0740740741,0.1111111111,0.0740740741,0.037037037,0,0
B,0.2307692308,0.1538461538,0.1153846154,0.0384615385,0.0769230769,0.0769230769,0.1538461538,0.0384615385,0.0384615385,0.0384615385,0.0384615385,0
B,0.1111111111,0.2222222222,0.1111111111,0,0.2222222222,0.1111111111,0.1111111111,0,0.1111111111,0,0,0
B,0.2592592593,0.1481481481,0.037037037,0.1111111111,0.1481481481,0.1481481481,0,0.1111111111,0.037037037,0,0,0
B,0.15,0.2,0.15,0.1,0,0.1,0.1,0.05,0.05,0.1,0,0
B,0.2972972973,0.1891891892,0.0810810811,0.0540540541,0.1081081081,0.0540540541,0.0540540541,0.0810810811,0.027027027,0.0540540541,0,0
B,0.5,0,0,0,0.25,0,0.25,0,0,0,0,0
B,0.2413793103,0.2413793103,0.1379310345,0.1034482759,0,0.0689655172,0.0689655172,0.0689655172,0,0.0344827586,0.0344827586,0
B,0.25,0.2,0.1,0.05,0.15,0.1,0.05,0.05,0.05,0,0,0
B,0.2142857143,0.2857142857,0.0714285714,0.0714285714,0.1428571429,0.1428571429,0,0.0714285714,0,0,0,0
B,0.1875,0.125,0.1875,0.0625,0.1458333333,0.0625,0.0833333333,0.1041666667,0.0208333333,0.0208333333,0,0
B,0.2222222222,0.2222222222,0.2222222222,0.0555555556,0.1111111111,0,0.1666666667,0,0,0,0,0
B,0.2,0.2,0.1,0,0.2,0.05,0.05,0.1,0,0.1,0,0
B,0.15,0.2,0.15,0.1,0.05,0.05,0.05,0.15,0,0.05,0.05,0
B,0.2,0.2,0.12,0.08,0.08,0,0.16,0.12,0.04,0,0,0
B,0.3888888889,0.0555555556,0.1111111111,0.1111111111,0.1666666667,0,0.0555555556,0.0555555556,0,0.0555555556,0,0
B,0.1333333333,0.1333333333,0.2666666667,0.2,0,0,0.1333333333,0.0666666667,0,0.0666666667,0,0
B,0.2857142857,0.0714285714,0.1428571429,0,0.1428571429,0.0714285714,0.0714285714,0.1428571429,0,0.0714285714,0,0
B,0.25,0.25,0.125,0.125,0,0,0.125,0,0.125,0,0,0
B,0.3333333333,0,0.1666666667,0.3333333333,0,0.1666666667,0,0,0,0,0,0
B,0.3571428571,0.1428571429,0.0714285714,0.0714285714,0.1428571429,0,0.0714285714,0.0714285714,0,0.0714285714,0,0
B,0.25,0,0,0.0833333333,0.1666666667,0.1666666667,0.25,0,0.0833333333,0,0,0
B,0.2272727273,0.1363636364,0.1363636364,0,0.2727272727,0.0454545455,0.1363636364,0.0454545455,0,0,0,0
B,0.2941176471,0.1176470588,0.1176470588,0.0588235294,0.1176470588,0.0588235294,0.1176470588,0.1176470588,0,0,0,0
B,0.3076923077,0.1923076923,0.0769230769,0,0.0384615385,0.0384615385,0.0769230769,0.1538461538,0.0769230769,0.0384615385,0,0
B,0.2352941176,0.1764705882,0.1176470588,0.1176470588,0.0588235294,0.1176470588,0,0.1176470588,0.0588235294,0,0,0
B,0.2,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0
B,0.25,0.25,0.1875,0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0,0
B,0.25,0.25,0.15,0,0.1,0.15,0.05,0.05,0,0,0,0
B,0.1538461538,0.2692307692,0.1538461538,0,0.0384615385,0.0769230769,0.0384615385,0.0384615385,0.1153846154,0.1153846154,0,0
B,0.2,0.2,0.2,0.2,0,0,0,0,0.2,0,0,0
B,0.2380952381,0.1904761905,0.1428571429,0.0714285714,0.0714285714,0.0476190476,0.119047619,0.0952380952,0.0238095238,0,0,0
B,0.2105263158,0.1578947368,0.1052631579,0.1052631579,0.1052631579,0.052631579,0.1052631579,0.1578947368,0,0,0,0
B,0.2,0.1,0.1,0.2,0,0.2,0.1,0,0,0.1,0,0
B,0.25,0.1666666667,0.0833333333,0,0.1666666667,0.1666666667,0,0.0833333333,0.0833333333,0,0,0
B,0.2916666667,0.125,0.2083333333,0.125,0.0416666667,0,0.0833333333,0.0416666667,0.0416666667,0,0.0416666667,0
B,0.1304347826,0.1304347826,0.0434782609,0.1304347826,0.0434782609,0.0869565217,0.1304347826,0.0434782609,0.1739130435,0.0869565217,0,0
B,0.2,0.3,0.2,0,0,0.2,0.1,0,0,0,0,0
B,0.2432432432,0.1891891892,0.1351351351,0.0540540541,0.0540540541,0.027027027,0.0810810811,0.1351351351,0.027027027,0,0.0540540541,0
B,0.2083333333,0.2083333333,0.125,0.0833333333,0,0.0833333333,0.0833333333,0.0416666667,0.0833333333,0,0.0833333333,0
B,0.125,0.1875,0.125,0.0625,0.125,0,0.0625,0.125,0,0.125,0.0625,0
B,0.1333333333,0.2,0.2,0.1333333333,0,0.1333333333,0.0666666667,0.0666666667,0.0666666667,0,0,0
B,0.275862069,0.1379310345,0.0689655172,0.1379310345,0.0689655172,0.0689655172,0.0689655172,0.0689655172,0.0344827586,0,0.0689655172,0
B,0.15,0.2,0.2,0.05,0.1,0.05,0.15,0.1,0,0,0,0
B,0.125,0.25,0.125,0,0.0625,0.125,0.0625,0.0625,0.125,0,0.0625,0
B,0.2727272727,0.2045454545,0.1363636364,0.0227272727,0.0454545455,0.0909090909,0.0681818182,0.0909090909,0.0454545455,0,0.0227272727,0
B,0.1470588235,0.1470588235,0.0882352941,0.0294117647,0.1470588235,0.1470588235,0.0588235294,0.0294117647,0.1176470588,0.0294117647,0.0588235294,0
B,0.2142857143,0.2142857143,0.2142857143,0.0714285714,0.0714285714,0.0714285714,0.0714285714,0.0714285714,0,0,0,0
B,0.2121212121,0.1818181818,0.1212121212,0.0303030303,0.0909090909,0.1212121212,0.0606060606,0.0606060606,0.0606060606,0.0606060606,0,0
B,0.1666666667,0.1333333333,0.2,0.0333333333,0.0666666667,0.1333333333,0.0666666667,0.1,0.0666666667,0,0.0333333333,0
B,0.4166666667,0.1666666667,0.0833333333,0.0833333333,0,0,0.0833333333,0.1666666667,0,0,0,0
B,0.3,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0,0
B,0.2105263158,0.1052631579,0.1052631579,0.052631579,0.052631579,0.052631579,0.2105263158,0,0.052631579,0.052631579,0.1052631579,0
B,0.125,0.225,0.175,0.025,0.125,0.1,0.05,0.05,0.05,0.05,0.025,0
B,0.2962962963,0.0740740741,0.0740740741,0.0740740741,0.0740740741,0.037037037,0.0740740741,0.1481481481,0.037037037,0.1111111111,0,0
B,0.2105263158,0.2631578947,0.1052631579,0,0.1578947368,0.1052631579,0.052631579,0.052631579,0,0.052631579,0,0
B,0.2,0.1272727273,0.1454545455,0.1272727273,0.1454545455,0.0545454546,0.0909090909,0.1090909091,0,0,0,0
B,0.2,0.1,0.1,0.2,0,0.1,0.1,0.2,0,0,0,0
B,0.25,0.15625,0.09375,0.0625,0.09375,0.125,0.09375,0.125,0,0,0,0
B,0.21875,0.1875,0.125,0.09375,0.15625,0.03125,0.09375,0.0625,0,0.03125,0,0
B,0.3,0.2,0.1,0.1,0,0,0.2,0.1,0,0,0,0
B,0.1666666667,0.25,0.1666666667,0,0.1666666667,0.0833333333,0.0833333333,0.0833333333,0,0,0,0
B,0.25,0.125,0,0.125,0.25,0,0.125,0.125,0,0,0,0
B,0.15,0.15,0.1,0.1,0.2,0.05,0.1,0.15,0,0,0,0
B,0.4285714286,0.1428571429,0.1428571429,0,0,0,0.1428571429,0,0,0.1428571429,0,0
B,0.24,0.16,0.12,0.08,0.08,0.08,0.04,0.12,0,0.08,0,0
